analysis_id,6t74pzvd7u6hfd0
gene_accession_id,MGI:2385884
pvalue,0.5742734
mouse_life_stage,Early adult
gene_symbol,Ddx27
parameter_id,IMPC_CSD_079_001
parameter_name,Aggression
mouse_strain,C57BL
