parameter_name,Follicular B Cells (CD21/35+)
analysis_id,0k6ju5tf5amz68r
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
mouse_life_stage,Early adult
pvalue,0.9765517
