parameter_id,IMPC_IPG_011_001
analysis_id,d9r80f6y4dpb677
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
mouse_life_stage,E18.5
gene_symbol,Zyg11b
pvalue,0.8857496
gene_accession_id,MGI:2685277
