gene_symbol,Golm2
parameter_id,IMPC_IMM_069_001
analysis_id,wn079x1pjq5pt8j
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
pvalue,0.9953918
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
