gene_symbol,Trdmt1
analysis_id,i76xrs53yr8t8t8
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
parameter_name,Light side time spent
mouse_strain,C57BL
pvalue,0.1439212
