parameter_name,Thyroxine
mouse_strain,C57BL
analysis_id,q0gmz6380wi15bi
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
pvalue,0.1544943
