parameter_name,Latency to center entry
analysis_id,3raob2gp2oxqjc5
gene_symbol,Bcs1l
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:1914071
pvalue,0.05458017
mouse_strain,C57BL
mouse_life_stage,E12.5
