parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
gene_symbol,Dnajc6
mouse_life_stage,Early adult
pvalue,0.05643289
analysis_id,8214v8ba0a4w336
gene_accession_id,MGI:1919935
