analysis_id,96w8938f1f6a447
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4137597
parameter_id,MGP_IMM_013_001
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
parameter_name,Total CD8+ T cells - % of ab T cells
