analysis_id,l39s89r41k3h2tj
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
parameter_name,HRV
pvalue,0.6787147
