analysis_id,09064x686pvjj97
mouse_strain,C57BL
parameter_id,MGP_PBI_008_001
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
pvalue,0.08600234
gene_symbol,Cdin1
