mouse_strain,129SV
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
analysis_id,h378s83e7224ry5
pvalue,0.7104576
parameter_id,ESLIM_001_001_117
parameter_name,eye size
gene_symbol,Zmynd8
