analysis_id,826he7pq4y4klde
gene_accession_id,MGI:1923959
parameter_id,JAX_LDT_005_001
pvalue,0.8525959
mouse_strain,C57BL
gene_symbol,Arpc2
parameter_name,Time mobile dark side
mouse_life_stage,Early adult
