parameter_id,HMGULA_HWT_008_001
parameter_name,Heart weight
pvalue,0.2072516
gene_accession_id,MGI:107414
analysis_id,4418r1fz98470ex
gene_symbol,Tnfsf10
mouse_strain,C57BL
mouse_life_stage,Early adult
