parameter_id,UCD_OWT_008_001
analysis_id,s2fs6o7q6sdni4r
mouse_strain,C57BL
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
parameter_name,Liver weight
pvalue,0.9091887
gene_symbol,Zfp683
