analysis_id,d038gwwe3j72955
pvalue,0.3050156
gene_symbol,Zmynd19
mouse_strain,C57BL
parameter_name,Hindlimb nail - number
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
parameter_id,IMPC_CSD_051_002
