analysis_id,338445w8r51uyt4
parameter_id,JAX_OFD_009_001
gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.5946816
parameter_name,Whole arena average speed
