parameter_name,Ly6Clow monocyte number
analysis_id,b83diz038rv7l8b
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
parameter_id,MGP_PBI_038_001
pvalue,0.3690792
