gene_symbol,Usp37
pvalue,0.6421386
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,y8o4ue985hvwp6k
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:2442483
parameter_name,Startle response
