gene_symbol,Kif24
gene_accession_id,MGI:1918345
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
pvalue,0.542423
mouse_life_stage,Early adult
analysis_id,x7wq5qwefjy4uao
parameter_name,Eyelid morphology
