analysis_id,8m2q1h3n8kr4wj1
pvalue,1.357065
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
parameter_name,Neutrophil differential count
