analysis_id,e4vt7u2m19yt1x1
gene_accession_id,MGI:1920638
parameter_name,Potassium
parameter_id,GMC_906_001_005
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7789922
gene_symbol,Bpifa3
