gene_symbol,Morn5
analysis_id,xhs81455h3b55b9
mouse_life_stage,Early adult
pvalue,0.8093764
parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1922745
