gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
pvalue,0.2386679
analysis_id,2389cvjy35kb2fl
mouse_life_stage,Early adult
parameter_name,18kHz-evoked ABR Threshold
