parameter_name,Limb morphology
analysis_id,epsd600zbu2msb6
gene_accession_id,MGI:2446274
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.1665039
gene_symbol,Frmpd1
