gene_symbol,Dnaaf9
pvalue,0.300323
mouse_life_stage,Early adult
parameter_id,MGP_IMM_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1923029
analysis_id,avy6j3ib59hq758
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
