analysis_id,h2jg0i261gd9183
gene_symbol,Sdcbp2
mouse_strain,C57BL
pvalue,0.1610713
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
