analysis_id,9w9kq413615o1wa
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.1258147
parameter_id,JAX_OFD_007_001
gene_accession_id,MGI:99501
parameter_name,Whole arena resting time
gene_symbol,Fgb
