parameter_name,ST
mouse_life_stage,E9.5
pvalue,0.3499705
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
analysis_id,6o5b1397461z4i9
