analysis_id,rfv7e521u7mx8k1
parameter_id,IMPC_GEO_011_001
parameter_name,Blood Vessel Morphology
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.6145671
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
