analysis_id,a893n0hqd3wc53p
pvalue,0.6174052
mouse_strain,C57BL
parameter_name,Basophil differential count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
