analysis_id,yp29765mh12s7y7
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
gene_symbol,Slc30a4
parameter_name,Cornea
pvalue,0.4724547
