parameter_name,Number of centre entries
gene_accession_id,MGI:1931749
mouse_strain,C57BL
gene_symbol,Pum1
parameter_id,ESLIM_007_001_015
analysis_id,59dt75q6a5mu40l
pvalue,0.6848229
mouse_life_stage,Early adult
