analysis_id,2k9xx4299nf588h
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
pvalue,0.8395629
mouse_strain,C57BL
parameter_name,Mean platelet volume
