analysis_id,h4g66hcfmm025h2
mouse_strain,C57BL
gene_symbol,Trp53rkb
parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
pvalue,0.3917335
