analysis_id,k6542i76f8g1ad9
pvalue,0.2361475
gene_accession_id,MGI:95835
gene_symbol,Hspa5
parameter_name,Fat/Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
