gene_symbol,Amigo1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4d97u0ot9e0s30g
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,M-G-P_005_001_004
pvalue,0.8771057
gene_accession_id,MGI:2653612
