analysis_id,zu818g378pneegc
pvalue,0.7150128
mouse_life_stage,Early adult
gene_symbol,Col6a3
gene_accession_id,MGI:88461
parameter_id,IMPC_ABR_002_001
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
