parameter_name,Corneal opacity
gene_accession_id,MGI:3046938
pvalue,0.8119039
gene_symbol,Hrnr
mouse_life_stage,Early adult
analysis_id,7n6c4439dyqe13o
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
