gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
analysis_id,u4tp19661pp8j19
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.9759428
mouse_life_stage,Early adult
