parameter_name,Hindpaw - size
analysis_id,y953t04zr964ci0
mouse_life_stage,Early adult
pvalue,0.9720669
parameter_id,JAXLA_CSD_041_002
gene_accession_id,MGI:1922745
mouse_strain,C57BL
gene_symbol,Morn5
