analysis_id,5r5fa5m41771m6z
gene_accession_id,MGI:97054
parameter_id,JAXLA_CSD_007_001
pvalue,0.1405675
gene_symbol,Mov10
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
mouse_strain,C57BL
