gene_symbol,Plcb1
mouse_strain,C57BL
parameter_id,MGP_BMI_019_001
analysis_id,60d8me8i646kqq3
gene_accession_id,MGI:97613
pvalue,0.9682329
parameter_name,T cells - % of CD45+
mouse_life_stage,Middle aged adult
