analysis_id,4u1g58uuvcee472
parameter_id,IMPC_GEO_011_001
gene_symbol,Atg4c
mouse_strain,C57BL
gene_accession_id,MGI:2651854
pvalue,0.6392824
parameter_name,Blood Vessel Morphology
mouse_life_stage,Early adult
