analysis_id,1vt5j28u3hd631s
mouse_life_stage,E9.5
pvalue,0.2215494
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1913483
parameter_id,MGP_IMM_001_001
