parameter_name,LVIDd
pvalue,0.8927599
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8817qbn31z675jz
parameter_id,IMPC_ECH_008_001
