parameter_name,110dB startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
gene_symbol,Cntfr
analysis_id,96h5tu447lf337d
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.3050393
