analysis_id,85y40w04704yub5
pvalue,0.335548
parameter_id,MGP_PBI_019_001
gene_symbol,Cdin1
parameter_name,Neutrophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
