analysis_id,18g6t7oki28v1az
pvalue,0.799313
parameter_name,Joints
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
