parameter_name,Mean corpuscular hemoglobin
analysis_id,q28x02lh1ec7838
mouse_strain,C57BL
pvalue,0.7256972
parameter_id,IMPC_HEM_006_001
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
