parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
gene_symbol,F2
mouse_life_stage,Early adult
analysis_id,m8hsa75ciww5vs6
pvalue,0.8274839
gene_accession_id,MGI:88380
