gene_symbol,Kif24
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
pvalue,0.7024241
analysis_id,o6l6i83pk1sz508
parameter_id,MGP_BMI_014_001
