gene_symbol,Mgst2
mouse_strain,C57BL
analysis_id,0wv894q3e70iovo
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_059_001
pvalue,0.1090824
parameter_name,Shape of ribcage
