gene_symbol,Eprs1
mouse_life_stage,Early adult
pvalue,0.2417736
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,v6a29l09npvv190
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
