analysis_id,3tv32aft9065k70
mouse_strain,C57BL
gene_symbol,Clvs1
mouse_life_stage,Early adult
pvalue,0.7054227
parameter_id,MGP_PBI_002_001
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:1921688
