parameter_id,IMPC_GPO_002_001
gene_symbol,Fgb
analysis_id,26q281ppdp21fi0
mouse_life_stage,Early adult
pvalue,0.4910296
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_name,Placenta Morphology
