parameter_name,CD8 CD44-CD62L+ T cells
mouse_strain,C57BL
analysis_id,75s0zq8mko21cqz
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.3274729
mouse_life_stage,Early adult
