parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:88328
pvalue,0.3224088
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,95y9vl5f5t8627p
gene_symbol,Tnfsf8
