analysis_id,uv87o6y7t462z7e
pvalue,0.2608621
gene_symbol,Fgb
parameter_id,IMPC_CSD_011_001
gene_accession_id,MGI:99501
parameter_name,Coat - hair distribution - back
mouse_life_stage,Early adult
mouse_strain,C57BL
