parameter_name,Time mobile light side
pvalue,0.582779
parameter_id,JAX_LDT_003_001
analysis_id,9z8t7vg4pcvwvbl
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
mouse_strain,C57BL
gene_symbol,Trpa1
