analysis_id,7n38qe9q18lqjh7
parameter_name,Tremor
gene_symbol,Trpa1
mouse_life_stage,Early adult
pvalue,0.3833697
mouse_strain,C57BL
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:3522699
