parameter_name,Eosinophil percentage
parameter_id,MGP_PBI_020_001
analysis_id,t0jl992qoerk3ip
mouse_strain,C57BL
gene_accession_id,MGI:1914256
pvalue,0.549962
gene_symbol,Cisd2
mouse_life_stage,Early adult
