parameter_name,Eosinophils
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
analysis_id,u66n8ivnut3y92c
gene_symbol,Extl1
pvalue,0.49491
gene_accession_id,MGI:1888742
