analysis_id,730o8650z9h338h
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_003
gene_symbol,Trp53i11
pvalue,0.0610622
parameter_name,Haemoglobin
mouse_strain,C57BL
